timestamp,name,host,method,avg_ms,min_ms,max_ms,rtts,sent,received,packet_loss_pct,http_status,error
2025-09-26T08:23:31.253744Z,Google,www.google.com,http,1085.491899997578,36.0,83.0,"[83, 36, 52]",4,3,25.0,200,
2025-09-26T08:23:36.369750Z,Yahoo,www.yahoo.com,http,598.9475999958813,28.0,78.0,"[78, 66, 77, 28]",4,4,0.0,429,
2025-09-26T08:23:40.065479Z,Bing,www.bing.com,http,772.0489000057569,11.0,41.0,"[11, 15, 17, 41]",4,4,0.0,200,
2025-09-26T08:23:43.931599Z,Cloudflare DNS,1.1.1.1,icmp,24.25,10.0,62.0,"[62, 10, 11, 14]",4,4,0.0,,
2025-09-26T08:24:51.836241Z,Google DNS,8.8.8.8,icmp,57.25,36.0,80.0,"[80, 36, 50, 63]",4,4,0.0,,
2025-09-26T08:24:55.007141Z,Google,www.google.com,http,1287.9676000011386,43.0,93.0,"[93, 43, 61, 67]",4,4,0.0,200,
2025-09-26T08:24:59.418073Z,Yahoo,www.yahoo.com,http,787.2398999897996,26.0,86.0,"[86, 82, 26, 29]",4,4,0.0,429,
2025-09-26T08:25:03.297980Z,Bing,www.bing.com,http,1094.6322000090731,25.0,70.0,"[70, 26, 25, 37]",4,4,0.0,200,
2025-09-26T08:25:07.495336Z,Cloudflare DNS,1.1.1.1,icmp,63.0,58.0,71.0,"[60, 71, 58]",4,3,25.0,,
2025-09-26T08:25:51.838358Z,Google DNS,8.8.8.8,icmp,72.5,37.0,98.0,"[98, 66, 89, 37]",4,4,0.0,,
2025-09-26T08:25:54.921627Z,Google,www.google.com,http,1077.7873000042746,56.0,108.0,"[100, 108, 56, 77]",4,4,0.0,200,
2025-09-26T08:25:59.123524Z,Yahoo,www.yahoo.com,http,1687.5960000033956,41.0,90.0,"[90, 41, 46, 59]",4,4,0.0,429,
2025-09-26T08:26:03.932361Z,Bing,www.bing.com,http,1410.1416999910725,25.0,76.0,"[69, 76, 25, 37]",4,4,0.0,200,
2025-09-26T08:26:08.424018Z,Cloudflare DNS,1.1.1.1,icmp,70.25,56.0,89.0,"[56, 63, 73, 89]",4,4,0.0,,
2025-09-26T08:28:05.763051Z,Google DNS,8.8.8.8,icmp,63.333333333333336,34.0,92.0,"[64, 92, 34]",4,3,25.0,,
2025-09-26T08:28:09.791768Z,Google,www.google.com,http,985.4885000095237,43.0,113.0,"[72, 113, 43, 51]",4,4,0.0,200,
2025-09-26T08:28:13.876966Z,Yahoo,www.yahoo.com,http,588.7797000032151,26.0,87.0,"[76, 87, 26]",4,3,25.0,429,
2025-09-26T08:28:18.303436Z,Bing,www.bing.com,http,973.3451999927638,41.0,210.0,"[93, 103, 210, 41]",4,4,0.0,200,
2025-09-26T08:28:23.134577Z,Cloudflare DNS,1.1.1.1,icmp,110.75,56.0,241.0,"[61, 85, 241, 56]",4,4,0.0,,
2025-09-26T10:10:10.440560Z,Google DNS,8.8.8.8,icmp,75.25,41.0,94.0,"[75, 91, 94, 41]",4,4,0.0,,
2025-09-26T10:10:14.779846Z,Google,www.google.com,http,2140.483499999391,71.0,170.0,"[168, 170, 83, 71]",4,4,0.0,200,
2025-09-26T10:10:20.185605Z,Yahoo,www.yahoo.com,http,1941.7088000045624,26.0,94.0,"[94, 26, 50, 55]",4,4,0.0,429,
2025-09-26T10:10:25.452294Z,Bing,www.bing.com,http,1805.365599997458,49.0,81.0,"[49, 57, 71, 81]",4,4,0.0,200,
2025-09-26T10:10:30.439119Z,Cloudflare DNS,1.1.1.1,icmp,81.0,59.0,103.0,"[82, 59, 80, 103]",4,4,0.0,,
2025-09-26T10:11:10.306979Z,Google DNS,8.8.8.8,icmp,61.75,50.0,75.0,"[50, 57, 65, 75]",4,4,0.0,,
2025-09-26T10:11:13.473074Z,Google,www.google.com,http,2219.118900000467,59.0,74.0,"[69, 74, 59, 72]",4,4,0.0,200,
2025-09-26T10:11:18.862677Z,Yahoo,www.yahoo.com,http,1633.2629999960773,25.0,41.0,"[25, 26, 32, 41]",4,4,0.0,429,
2025-09-26T10:11:23.696367Z,Bing,www.bing.com,http,1792.2582000028342,25.0,72.0,"[72, 25, 26, 30]",4,4,0.0,200,
2025-09-26T10:11:28.617218Z,Cloudflare DNS,1.1.1.1,icmp,123.5,80.0,144.0,"[131, 144, 139, 80]",4,4,0.0,,
2025-09-26T10:12:10.306513Z,Google DNS,8.8.8.8,icmp,212.75,34.0,494.0,"[34, 157, 166, 494]",4,4,0.0,,
2025-09-26T10:12:13.874685Z,Google,www.google.com,http,2312.7562000008766,43.0,88.0,"[79, 85, 88, 43]",4,4,0.0,200,
2025-09-26T10:12:19.320511Z,Yahoo,www.yahoo.com,http,1507.3340999952052,46.0,84.0,"[46, 84, 81, 70]",4,4,0.0,429,
2025-09-26T10:12:23.994474Z,Bing,www.bing.com,http,1843.439500007662,25.0,74.0,"[63, 74, 67, 25]",4,4,0.0,200,
2025-09-26T10:12:28.943474Z,Cloudflare DNS,1.1.1.1,icmp,108.0,78.0,134.0,"[119, 134, 78, 101]",4,4,0.0,,
2025-09-26T10:13:10.305547Z,Google DNS,8.8.8.8,icmp,69.5,60.0,80.0,"[60, 74, 80, 64]",4,4,0.0,,
2025-09-26T10:13:13.440516Z,Google,www.google.com,http,2059.587099996861,48.0,96.0,"[48, 96, 65, 85]",4,4,0.0,200,
2025-09-26T10:13:18.683717Z,Yahoo,www.yahoo.com,http,1732.8364000131842,27.0,81.0,"[64, 81, 75, 27]",4,4,0.0,429,
2025-09-26T10:13:23.517379Z,Bing,www.bing.com,http,1714.8578000051202,25.0,76.0,"[52, 76, 76, 25]",4,4,0.0,200,
2025-09-26T10:13:28.341057Z,Cloudflare DNS,1.1.1.1,icmp,71.75,51.0,93.0,"[51, 64, 79, 93]",4,4,0.0,,
2025-09-26T10:14:10.306301Z,Google DNS,8.8.8.8,icmp,194.5,68.0,466.0,"[466, 153, 91, 68]",4,4,0.0,,
2025-09-26T10:14:13.438552Z,Google,www.google.com,http,1859.9144999898272,52.0,102.0,"[76, 52, 61, 102]",4,4,0.0,200,
2025-09-26T10:14:18.503092Z,Yahoo,www.yahoo.com,http,2195.5622999957995,265.0,296.0,"[268, 295, 296, 265]",4,4,0.0,429,
2025-09-26T10:14:24.048286Z,Bing,www.bing.com,http,1893.8741000019945,11.0,71.0,"[71, 67, 11, 13]",4,4,0.0,200,
2025-09-26T10:14:29.046350Z,Cloudflare DNS,1.1.1.1,icmp,58.0,45.0,67.0,"[45, 59, 61, 67]",4,4,0.0,,
2025-09-26T10:15:10.305692Z,Google DNS,8.8.8.8,icmp,179.5,72.0,304.0,"[72, 159, 183, 304]",4,4,0.0,,
2025-09-26T10:15:13.670998Z,Google,www.google.com,http,2023.7774999986868,37.0,115.0,"[64, 75, 115, 37]",4,4,0.0,200,
2025-09-26T10:15:18.832142Z,Yahoo,www.yahoo.com,http,1560.8801000053063,26.0,72.0,"[72, 30, 26, 39]",4,4,0.0,429,
2025-09-26T10:15:23.527821Z,Bing,www.bing.com,http,1616.327800002182,24.0,90.0,"[71, 90, 24]",4,3,25.0,200,
2025-09-26T10:15:28.853406Z,Cloudflare DNS,1.1.1.1,icmp,109.25,67.0,154.0,"[67, 71, 145, 154]",4,4,0.0,,
2025-09-26T10:46:29.393620Z,Google DNS,8.8.8.8,http,,,,[],4,0,100.0,,"HTTPSConnectionPool(host='8.8.8.8', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000233936B8590>: Failed to establish a new connection: [WinError 10065] A socket operation was attempted to an unreachable host'))"
2025-09-26T10:46:36.330835Z,Google,www.google.com,http,,,,[],4,0,100.0,,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000233936C2B10>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))"
2025-09-26T10:46:36.403236Z,Yahoo,www.yahoo.com,http,,,,[],4,0,100.0,,"HTTPSConnectionPool(host='www.yahoo.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002339163F610>: Failed to resolve 'www.yahoo.com' ([Errno 11001] getaddrinfo failed)""))"
